alpha,alpha_scale,DTime,model,obs_error,Power_annual,Power_biennial,Power_Improve_annual,Specificity_annual,Specificity_biennial
0.641,0.5,5.5,logistic,1.5,0.5025,0.535,-0.0325,0.7,0.9125
0.349,0.5,5.5,logistic,1.5,0.515,0.55,-0.035,0.695,0.7375
0.349,0.75,7.5,Gompertz,1.5,0.49,0.525,-0.035,0.94,0.9325
0.641,0.5,5.5,Gompertz,2.5,0.5775,0.6125,-0.035,0.835,0.8225
0.641,0.5,7.5,logistic,2.5,0.4625,0.5,-0.0375,0.6025,0.715
0.641,0.25,7.5,Gompertz,1.5,0.7525,0.79,-0.0375,0.96,0.9375
0.349,0.75,5.5,Gompertz,1.5,0.5125,0.5525,-0.04,0.9325,0.9525
0.641,0.25,5.5,logistic,1.5,0.6575,0.7025,-0.045,0.7375,0.915
0.349,0.5,5.5,logistic,0.5,0.73,0.7775,-0.0475,0.7475,0.89
0.933,0.25,3.5,Gompertz,1.5,0.6175,0.665,-0.0475,0.945,0.9625
0.349,0.75,5.5,logistic,2.5,0.465,0.515,-0.05,0.525,0.5775
0.349,0.5,7.5,logistic,1.5,0.485,0.535,-0.05,0.6975,0.715
0.641,0.5,5.5,Gompertz,1.5,0.575,0.6275,-0.0525,0.935,0.9375
0.349,0.75,5.5,Gompertz,0.5,0.71,0.765,-0.055,1,1
0.349,0.25,5.5,logistic,1.5,0.555,0.615,-0.06,0.665,0.73
0.349,0.25,3.5,logistic,1.5,0.5375,0.605,-0.0675,0.7475,0.72
0.641,0.25,7.5,Gompertz,2.5,0.6525,0.73,-0.0775,0.8225,0.8275
0.641,0.25,5.5,logistic,2.5,0.5925,0.6775,-0.085,0.635,0.755
0.933,0.25,3.5,Gompertz,0.5,0.735,0.8775,-0.1425,1,1
